State,Population_1990,Population_2010,Area
Alabama,4040587,4712651,50723
Alaska,550043,683537,570362
Arizona,3665228,6246816,113637
Arkansas,2350725,2872684,52043
California,29760021,36637290,155946
Colorado,3294394,4834189,103701
Connecticut,3287116,3545837,4842
Delaware,666168,881278,1953
District of Columbia,606900,584400,61
Florida,12937926,18511620,53966
Georgia,6478216,9468815,57849
Hawaii,1108229,1333591,6422
Idaho,1006749,1526797,82730
Illinois,11430602,12745359,55549
Indiana,5544159,6417398,35830
Iowa,2776755,3016267,55827
Kansas,2477574,2809329,81774
Kentucky,3685296,4285828,39679
Louisiana,4219973,4429940,43536
Maine,1227928,1327665,30858
Maryland,4781468,5696423,9767
Massachusetts,6016425,6477096,7832
Michigan,9295297,9952687,56773
Minnesota,4375099,5241914,79577
Mississippi,2573216,2941991,46875
Missouri,5117073,5922314,68844
Montana,799013,973739,145283
Nebraska,1578385,1799125,76836
Nevada,1201833,2633331,109797
New Hampshire,1109252,1313939,8964
New Jersey,7730188,8721577,7410
New Mexico,1515069,2013122,121352
New York,17990455,19229752,47193
North Carolina,6628637,9271178,48669
North Dakota,638800,659858,68972
Ohio,10847115,11512431,40914
Oklahoma,3145585,3675339,68645
Oregon,2842321,3761925,95986
Pennsylvania,11881643,12612705,44790
Rhode Island,1003464,1056389,1043
South Carolina,3486703,4511428,30092
South Dakota,696004,799462,75868
Tennessee,4877185,6234968,41176
Texas,16986510,24311891,261795
Utah,1722850,2657236,82154
Vermont,562758,624258,9244
Virgin Islands,0,0,0
Virginia,6175682,7841754,39522
Washington,4866692,6561297,66565
West Virginia,1793477,1840802,24062
Wisconsin,4891769,5637947,54281
Wyoming,453588,545579,97092
